Tweets,Decision
@mooncatadams @lee_in_iowa @politicususa all are busy covering their asses first wonder who's got drumpf's covered,No
rt @thebarbecuemast: @218lov @realdonaldtrump trump is the best . obama is a retarded  asswipe @realdonaldtrump  #maga ___________ƒ,No
one guess which political party this pamela ramsay taylor shithead is part of #cdnpoli https://t.co/obwsqgpnfh,No
why not continue your investigation in russia? asswipe @johnmccain2016 https://t.co/c1qk25llsn,Yes
@realdonaldtrump you're in for a reality check soon shithead.,No
impeachment led by asshat @newtgingrich who now calls for ethics laws to be repealed for trump. there's no differenƒ https://t.co/lfb8eceodl,No
@realdonaldtrump ok asswipe what horrific thing have you done that you're trying to divert us from this time? get off twitter you idiot,No
@drinktruthserum &lt;&lt; look who's talking? a mofo conservative x-tard ;) ! @foxnews,No
@palmer_shane @karoli deplorables still out here lying your deplorable asses off. officially over you.,No
@jamestaranto these people are making up crap as they go about russia hacking and just about anything they can to hurt trump. get lost asses,No
@kellyannepolls @realdonaldtrump people who donÍt yet realize what an amazing pres obama was are in for a shock once asshat takes over.,No
a lot of y'all eating food from last year little nasty asses,No
rt @clehnertz82: @realdonaldtrump your tax returns could clear all this up. #liar #asshat #daughterrapist #racist #tyrantƒ,No
russian hacking is democrat for oh shit those emails showed the truth &amp; msm can't cover our asses,No
@billtufts @justintrudeau recall davos he spent an extra week hob knobing withjhollywood asses,No
rt @dearauntcrabby: in this case  @realdonaldtrump  delete your damn twitter account and throw away your mobile phone  you asswipe. https:/ƒ,No
fifty years of trying to reduce the danger of nuclear war  and then mr. fuckhead gives voice to another whim.ƒ https://t.co/3drxhq9sqf,Yes
rt @ny199827: how about resettling our homeless veterans mr commander and shithead https://t.co/8nyzqtaawd,No
wow...way to bring the country together  you asshat. https://t.co/ndh8fyxckx,No
@realfurredreich stop tweeting me shithead. nice swastika in your profile! /blocked,No
@mutahingunyi the time is ripe for some asses like u en your president be subverted  no more avenues for rigging #specialsession,No
@realdonaldtrump putin is a a-1 asshat  just like you. words can not express my displeasure in you as a leader. god help us!,No
@studentactivism is a liberal asswipe,No
rt @jack_stone_818: @senjohnmccain @cfraase @lindseygrahamsc @amyklobuchar how can i put this delicately. your peotus is an asshat.,No
rt @deskspud: steve doocy-arguably the most flaccid empty headed asshat ever 2 appear before the public spewing appalling slanderƒ,Yes
hey @dnc what did he know? how about whats really going on? these people are being murdered to save your own asses.ƒ https://t.co/j3s8ukhqgp,No
@jamessimpsontx dominik  i'm a nurse  asshat!  this from someone with a swastika as his photo.,No
@colemane @secretcabdriver @foxnews and that is precisely why that orange fucktard is our president elect now,No
@senatorberger no the same sneaky asshat gop did by not sticking to the deal. full repeal you all are just a bunch of lying dirtbags!,No
we must insure these asshat pieces of trump never have control of nukes. ever. #catastrophicconsequencesƒ https://t.co/hcomgorn5f,No
those who can't wait for 2016 to end because celebrities are dying forget that in 2017 the asshat becomes our leader. it's getting worse.,No
@rentuws @freeyourmindkid @jcrapkus @realdonaldtrump #fucktard...you cant change the emection. u ppl are pointless 2 talk to...peace out efr,No
@adi7yanaik @s_cartoons left wing fuck-nuts and how they target people isn't exactly a secret you cocksucker. now finish your bag of dicks.,No
@ibelieveinusa @arln1966 they're also ok with voter intimidation/suppression  gerrymandering &amp; generally lying their asses off.,No
@anitabetterlife @realdonaldtrump @mike_pence shut up asswipe we do what we want,No
@prisonplanet with isis finally getting their asses kicked by putin &amp; assad its time to spread the __christmas __ spiƒ https://t.co/psabouvqkz,No
@tc_basbakan whatever u say maimun shithead https://t.co/dtofff8shl   #ambassador  https://t.co/uulav4ydze,No
you might be a tard if; you haven't accepted trump as potus as a reality  jus sayin https://t.co/ats0mt7gy9,No
let's see...trump had two 'faithless electors' &amp; @hillaryclinton had five vote for someone else. lmao. @thedemocrats batting .000. asses.,No
@lynetterosemrtz yep and that's how the democrats do it. you know they pretend to know what their doing but really couldn't tell their asses,No
@markluxon1 @glinner #fascim is one big straw-men. leftards still butt hurt they kicked their asses. so loading the language @lanalokteff,No
@stephenking he scares me. asshat elect is dangerous,No
@stolensceptre @nytimes i hope the dumb asses that voted for this idiot are waking up truth is no one knows what russia has in its arsenal.,Yes
lmao israel got their asses owned by the un. netenyahou is a bitch that got my boy biggie killed. fuck outta here witcho bs settlements,No
i love my people  but i do not support incompetence; i am not loyal to half-asses; i do not pledge allegiance to fuck-ups.,No
@magicaldmt  nope. but good luck to your 5 year old niece in the future  having this asshat as a president.,No
careful you dumb ass @libdems  you'll shoot your eye out or more likely your dumb asses off. https://t.co/4jebvqn67j,Yes
rt @6678c1d89c364f4: @yankeesgurl23 @yeropinion @michaelamorar @gop exactly there going 2work their asses off now bcuz this is all abt killƒ,No
@squidcoyote i think that  and also he correctly saw leftist media making complete asses of themselves and lying about everything. @n7kopper,Yes
rt @badbadfox: shut their asses down  they are not a benefit but a hindrance teaching and assisting illegals how to stay in our coƒ,No
@supermanhotmale @clae48 we know trump is an asshat. it's also very disturbing that 60+ million americans agree with him. wilful ignorance.,No
this #twilightzone episode is relevant today... them fascists are on some trump shit. they got their asses kicked tho - that was cool. haha!,No
#morningjoe &amp; his band of neoliberal corporate whores got asshat clown #trump elected now runnin 'merca,No
2017  russia &amp; the u.s. have become allies   who would have though . we'll just have 2 see what happens. hope all u dumb asses r happy!,Yes
praising the russian fascist dictator because it gave you a racist fucktard of a president defines you as traitor.ƒ https://t.co/rvpxu6pv7x,No
that damn putin. he made her be a lying asshat too. god  he is just so terrible. poor @hillaryclinton and that peskƒ https://t.co/vtxh9a6ql5,No
rt @gregghoulden: disagree completely roled over for the asshat ex justice spokesman. tucker would have ripped his whinny head off https://ƒ,No
rt @davidf4444: @4civilization he was an asswipe from day 1... you missed his vp debate performance?,No
i've always wanted to say this to some right-wing asshat: hey  @heritage  if you don't like it here  why don't youƒ https://t.co/mcsizgxsvv,No
islamophobia got these morons kissing communists asses. reagan would be proud. https://t.co/asnzytmriq,No
@realdonaldtrump @kellyannepolls @nbcnews @stephenking the levels of asshat trump's stupidity are uncanny. we're doƒ https://t.co/plnw1bk7aa,Yes
@foxnews @foxnewspolitics lying asses more dumb ass credit taking bullshit while you guys move around in his ball sƒ https://t.co/ozxifmpizi,Yes
@cnn so fucking what  this fucktard is threatening the life of everyone on the planet.,Yes
rt @alwaysonoffense: @jbouie i think people are arguing don't be a shithead on a plane. you don't have to flip the fuck out b/c a trump isƒ,No
libs should accept defeat &amp; move on. stop making asses of yourselves. your behavior exposes you as true deplorables. https://t.co/vgkkftgvqg,Yes
@rsultzba @mrntweet2 no - throw their asses in jail for sedition and treason,No
@realdonaldtrump shut up asshat!,No
@realdonaldtrump just cause you can spell hack has no bearing on investigation shithead. #notmypresident #horriblerolemodel,Yes
rt @gotham3: let's make a building for the blind supporters of all political parties on earth and call it the world tard center.,Yes
hey you ignorant #fuckinillegals who thank liberals want ur destructive asses in the usa? thank again...just after ur #illegalvote! #fact,Yes
"@danleyjc @green_footballs this kind of __ results in ""the eternal wipe"". it will take america a long time to get clean. #asswipe",No
@shineing fuck you traitor! do you know what they did to traitors like you in the civil war? take a look asswipe!ƒ https://t.co/lfjgjmvdnq,No
any chance the electorals get their heads out of their asses?,Yes
@dyths normally  i would agree with you  but they got their asses handed to them by isis this time  it was seized for sure,No
@washingtonpost what freakin hypocrites. @realdonaldtrump is this how ur maga? great start. asshat.,No
@realdonaldtrump i hope you're not just blowing smoke up our asses,No
rt @misteprogram: shut the fuck up asswipe! this is exactly what the american people want. israel doesn't run this country  just theƒ,No
and the republican defectors will historical bad asses! doing hamilton proud! @aliasvaughn https://t.co/ne0mbmxaia,No
@realdonaldtrump such a lovely picture of you and your family. #asshat #narcissistic,No
@mtvnews huh  i just found my 2017 resolution  to kick each one these snowflakes asses.,No
china is building a new coal fired plant every ten days.  i don't see her carbon taxing their asses? global bullshiƒ https://t.co/ayjthzujd1,No
@leapgerbils @france4hillary that's why he's a world renown neurosurgeon and you're an unknown shithead...,Yes
rt @acarlson1018: gonna keep sharing this until the women in this country realize the threat we face with asshat in white house https://t.cƒ,No
goodnight global warming is real and conservatives need to pull their heads out of thejr asses before they corrupt us all,Yes
@keitholbermann u drunk fucktard. @tuckercarlson been on fox for quite some time it's u who keeps getting fired u stupid fuck  @mediaite,Yes
@dearauntcrabby @stucker6061 every fuc*ing day is something else this is bullshit you asses in wa. are making a big mistake believe it...,No
@billclinton @realdonaldtrump   donnie your such an asswipe....,No
@enriquemflores3 @aravosis  he knows his voters are dumb asses that will believe his lies. or do they...who knows they are just #realstupid.,Yes
@johnkerry you are a total shithead.,No
am i the only one who thinks this asshat doesn't want to be potus? he seems to be trying hard not to  his blind folƒ https://t.co/npqv440l42,No
@realdonaldtrump. hey asshat.  can you please be graceful and humble for once in your life ?? geez. .we get it...you won,No
@kellyo @dzsteph @realdonaldtrump is gop just going to hand our asses 2 putin on a platter??,No
@ac360 @donlemon @cnn if this asshat has a job come tuesday  cnn wants to lose every viewer they have. they only have about 90 000 viewers.,Yes
@billkristol well i guess it's a good thing you didn't get your way on nov 8  isn't it  asshat?,No
@wexfordbill fuckhead is a moron tool of russia and current gop r nietzschean asshole corporate tools,Yes
gop asses https://t.co/rdierjx5qh,No
@realdonaldtrump fuck trump  shut you asswipe,No
rt @wlfanning: @bob_owens this is either fabricated or some blm losers tried to attack someone and got their asses kicked. @markawebster1,No
@eligit @juddlegum idiot! @barackobama is potus until 1.20.17  he's the cocksucker that is ruining our country. fuck  u liberals r ignorant,No
@breitbartnews some community leader. probably take gold toilet paper with them to wipe their asses. divider in chief big spender.,No
"uk  paid lib-tard crisis actors appeal for illegal muslim invaders   "" pass the sick bag please "" https://t.co/uxdylmmuta",No
@aiiamericangiri @bizpacreview lol..what a shithead!! it will be reversed...like every other shit policy!!#nomuslimregistry #traitor,No
@joyannreid   mcconnell and top republican officials covering their asses for what they did (directly) in this election. with the votes.,No
@alyssa_milano   @realdonaldtrump he cant. why?asshat.,No
.@sscharf12 chicken/egg. when more working people get off their lazy asses and vote  more democrats would be electeƒ https://t.co/q1qkzi4clj,No
@realdonaldtrump  fire this asswipe and install an honest person in that post  please https://t.co/anib3dnqio,Yes
@foxnews act like a #twatwaffle #fool be treated like a #traitor like you deserve #fucktard _____@omgadamsaleh_____,No
@sportsmedialm govt getting interest off their dumb asses and folks will be broke for the next 11 months after they spend that refund check,No
see liberals know and shove crap down our throats . how do ya get respect knock them on their asses a few times !! https://t.co/ex8c05qry0,No
@bmac0507 yet another liberal showing their complete intolerance for anyone that doesn't kiss their spoiled brat asses,No
@realdonaldtrump way to act like the divisive narcissistic fucktard that you are trump..your gullibles are blind..but we see you,Yes
rt @realjbradly: liberals still continue to develop conspiracy theories in order to blame everyone else for having their asses handeƒ,No
@realdonaldtrump it's called conflict of interest asshat.  study it up.,Yes
@taylorgal4ev @abc kinda like how obama and hillary kissed and basically licked the asses of all the muslim shieks,No
rt @festuswalker: obama can fill all he wants but the fact is they will be working under a new boss that won't hesitate to fire their asses,No
@smtm_lfc it's either gonna a far right fucktard fuming at immigration or an islamic fucktard fuming at the way his people are being treated,No
rt @ucbearcats1: wtf is happening? this is war folks. get your heads out of your asses @sensanders @senjohnmccain @lindseygrahamsc  https:/ƒ,Yes
rt @vivosmortuus: @twinlet133 @aravosis @reince @rnc i'm pretty sure in the manger scenario  trump would be one of the asses.,No
tell obama he can stop (he scrapped entry-exit tracking system for muslim migrants). he's already the biggest cocksucker to be us president.,No
"@novellagirl @0whiteguilt @keitholbermann @realdonaldtrump maybe your country realized what an ass-hat ""trumpie the clown"" was? lol!",No
@redeemed79 @foxnews @marclamonthill you've got it  all liberals sound alike! it was another ass-hat richard somebody. my bad  as u say.,No
@50megatonfbomb @phyllisboyce2 @politico   i'm safe.  with ass-hat obama on vacation w/only 30 days left in office.,No
with all respect to the office he is about to assume  what an ass-hat https://t.co/ftwafkw0j8,No
.@una_alta_volta @bellis2488my @doncarrmac @snitfit i disagree.  he's a real communists  anti-semite  anti-american  pro-shia muslim assbag!,No
rt @delrayser: watch @laurenduca join jon stewart in the club of people who have exposed tucker carlson as a smug assbag on live tv https:/ƒ,No
this is the lord your god... stop being a dick... it was the russians cockhead!!! #presidentelecttrump https://t.co/937d8xricc,No
@pattonoswalt only because of one state that required no form of id to vote. the rest of the country summarily rejected her. assbag.,No
me thinks this #republican cockhead has mad cow disease.,No
rank alt-right cockhead complains about problematic  hurtful words on the internet; claims mantle of working classƒ https://t.co/tjukznfcev,No
rt @hellon_heels: so is @speakerryan secretly hoping for an immediate impeachment or is he just a deplorable assbag who doesn't careƒ,No
@realdonaldtrump such a cockhead. fucking shut the fuck up you spanner. #srsly,No
@realdonaldtrump you dumb fuck ! immoral pos with your embarrassing teenage https://t.co/e7zka3lwuv really are an assbag of foul air .,Yes
@realdonaldtrump @cnn @nbcnews @foxnews fauxnews isn't real news assbag.,Yes
@thehill well that would be a little tough. the orange assbag will be in charge. there was actual hope in 2016.,No
@usatoday @realronhoward now time for the ass-hat to dissolve the trump organization,No
@bernerlap taxi for cunliffe ......cockhead ...#brexitmeansbrexit,No
what the fuck are you doing? you work for us you rotting assbag!!! https://t.co/d5cwqcqrkv,No
"@metalodyssey @richardafowler @verified richard ""race baiting"" fowler is a cockhead",No
@realdonaldtrump hey cockhead. https://t.co/ruzjpi5s9z,No
@realdonaldtrump ummm holiday seasons have been great ever since potus signed the stimulus package  ass-hat,No
@michaelskolnik @chirprn @realdonaldtrump ...and it begins  prepare for the next 4 years of this assbite https://t.co/h47xyucrny,No
only the beginning of four years of scandals  mismanagement  mistakes  lies  buffoonery  poon-houndery  and ass-hatƒ https://t.co/prga3zrk7m,No
rt @vertical_step: coming up on gmb  odious man-child  @piersmorgan interviews racist pathalogical lying ass-hat @nigel_farage. #greatjournƒ,No
@rgenci57 @rebellionreport assbag. he treated diana like shit.,No
@cnadnqt thx!  i'm a cancer survivor so not too much bothers me these days.  except for assbag right wingers,No
@margi1959 he'll blame the germans for not giving asylum seekers better heavy vehicle driver training. because he's a cockhead.,No
@reppeteking you fuckin douchebag...you fucking know it was russia  lied to the public  are a fucking treasonous assbite. #impeachtrump,No
"@slone one ass-hat ""un-american"" elector that is!",No
of jesus you stupid left wing bigoted fucking cockhead.  @brianrrs37 @andresoventi,Yes
"@carring123 well a putin ass-kissing  russian troll tries to send a tweet but ""language no good."" be off ass-hat no room at the inn for you!",No
merry christmas to all of my followers. may the new year bring embarrassment ridicule &amp;  pain to all voters who put this assbag in office __,No
rt @kaore: senator and frequent assbag ted cruz (r) from texas is up for re-election in 2018. let's green eggs and hand him his ass. #votetƒ,No
"didn't think it was possible  @schwarzenegger is a bigger ass-hat than @realdonaldtrump.  ""in this room you call me guv-a-nuh"".  #bigtool",Yes
for trump  no qualms in contradicting obama @cnnpolitics https://t.co/gkn7ujj3dd. nothing new for the ass-hat elect to be add odds. asshole!,No
tomarnold needs to put up or shut up everyone knows trump is horrible already &amp; many still voted for assbag  https://t.co/mp7pvzys3a,Yes
@realdonaldtrump  you fucking won ass-hat! shut the fuck up and get to work. how fucking tiny is your penis anyway??,Yes
@realdonaldtrump assbag in chief,No
hollywood ass-hat spewing racal hatred exactly as michelle antoinette trans flotus often does #boycottthetalk sendƒ https://t.co/hrnbgyeb0y,Yes
@dailysignal @freebeacon @keithellison #prosecute assbag #democrats #keithdllison #dncofficials https://t.co/agmj1zme4s,No
nothing like some assbag conservative adding you to a list of librul traitors..,Yes
bighead  cockhead  crackhead  deckhead  dickheads  forehead  pinhead  sickbed  smackhead this is our cabinet!,No
coming up on gmb  odious man-child  @piersmorgan interviews racist pathalogical lying ass-hat @nigel_farage. #greatjournalism ____,No
@fox59 assbag obama reignites the cold war with just days to go in his dream-squashing administration. come on january 21  !  !,No
@realdonaldtrump chapter 11 doesn't exist in nuclear war you assbag!,No
@wvjoe911 you're damn right they should obstruct every piece of shit legislation you boneheaded assbag gop shitheads come up with. eos!,No
@bradleystout1 @pazraider we aren't family assbite u voted for clinton u r a loser and nobody's fellow american,No
@alpha_q67 @k_m_c_90 @linashamy youre hypocrite. pretending 2be aginst zioshit killers but excusing shia shabiha killers of asshead dictator,No
@gl49er @reifman @kerryrosehart @realdonaldtrump u r a full fuckwit who will learn what a cockhead donald really is,Yes
rt @_sadlrig: happy birthday fidel castro asshead @johnnyv78,No
"@theblaze this ass-hat spent too much time at osama's favorite mosque/hookah bar giving ""high road bj's. what a delusional ass-licker. __________",Yes
@realdonaldtrump the world is fucker because of you. luckily  that is why the warsaw pact  is still around  so you can't screw it up. assbag,No
i wonder if it's too late to pretend i'm canadian. what an embarrassing assbag. https://t.co/df0kque4d0,No
@realdonaldtrump ass-hat,No
@charliesheen hopefully you're next..you subversive libtard scumbag drunken drug addict cocksucker. can't wait untiƒ https://t.co/o1xkfmmgkj,No
"rt @shrugsports: ""snowflake tears"" just fucking die you cocksucker. https://t.co/md9wlexwtv",No
@ap let me guess: the asshat who wrote this tweet is the same guy who wrote the defamatory hrc tweet re: clinton fdn that stayed up 2 weeks,Yes
@politico @realdonaldtrump just remember illiterate asses that voted for him... there's way  way more of us than you! you won't do much lol,Yes
@choosetobfree from a blue state and i thank all you red states who carried our sorry asses!,No
@rjgatoresq u know fd  they call themselves the party of the stubborn jack asses  for a good reason.,No
@simonhedlin obama caused this shit! obama can kiss 60m asses! @realdonaldtrump,No
@avilarenata the same asshat that helped get trump elected? nah. he can rot in an ecuadorian wardrobe for all i care.,Yes
@ryumoau_juno @glinner  because graham linehan is a self-absorbed shithead who has to make everything and everything about his politics.,No
@lednaxo mannnn later for them!! they put trump in office!! i'm riding white folk asses untill i hit the grave! unforgivable!,No
@seacorc #johnkerry is a shithead traitor who sold this country down the river. f him,No
*his or her. sadly  i hear some women voted for that asshat  too.,Yes
rt @nickbuser5: @mckelvey_ian all these libtards have their heads so far up their progressive asses they can't even comprehend anything goiƒ,Yes
yea b/c equality is sooo bad. you #conservative whites are the #devil. just a #vile  bunch of asses. i'm using nameƒ https://t.co/eg1zhacknx,Yes
alllll mf well they asses shouldn't have voted for his ass __ https://t.co/5w28n7r5gc,No
stop lecturing us you pathetic elitist global radical muslim asswipe! obama defines the term d-bag! #tribalism  https://t.co/rq6zzdhkqp,No
rt @gearmeister: @queenieking57 @thesickdiva @loudobbs @latimes c'mon down  you're the next contestant on evacuate your lib tard zone  takeƒ,No
@niabbot such a hater. you're such a great broadcaster until you go anti trump tard. let it go man.,No
@raheemkassam the #huffpo are disgusting victim blaming islamist apologists  and the asshat writer of the article is a sick little shit!,Yes
@clydelewis hear is your fucking proof you neomaxi zoom deebe fucktard hack!   fbi: how russia hacked the election https://t.co/fxo9dikuyu,No
@speakerryan  ok..asswipe..dont  screw seniors on the back of your aca bullshit. fix aca..stay away from medicare/ss,Yes
@tomarnold no  not cool at all.jack-asses at dnc should have heeded fbi warning like rnc did. although info extremely helpful to citizens.,Yes
the best way i can explain the obama legacy # fucktard https://t.co/c0icno6ajd,No
@yakovlevi @therealroseanne what we've been saying might be coming true- obama  president of evil; starter of wwiii... thanks fucktard,Yes
rt @stonekettle: maybe  and i'm just saying here  liberals should pull their collective heads out of their collective asses and getƒ,Yes
well all you liberal crybabies and assholes that were never trump can kiss our asses!  better get used to saying president trump for 8 years,No
corporate dems have their heads so far to their own asses that it's just so ridiculous  time for real progressives to@twke office !,No
#fucktard #libtard #brainwashed #loser can't understand comedy &amp; attacks people's religious beliefs. https://t.co/ywe0oqhgnn,No
@anewthomaspaine @asamjulian i can't stand her either but it is sickening to see the asshat obama act like he has no blame...,Yes
@twytterpaytyd @impl0rable the us is a democratic republic asshat not a democracy  get your shit straight,No
&amp; snide @yahoonews/@thedemocrats punks haven't learned why they/@barackobama got their asses fed to them...yet...   https://t.co/0nnphqjmjg,Yes
@realdonaldtrump it's not a shame it's a f___ing conflict of interest  you narsaccistic asswipe. https://t.co/csncnzmun3,Yes
these two are the biggest asses. i can't wait for you to leave our white house. fake  crooked and two demons. https://t.co/yw3zdtcmru,No
@msgoddessrises yeah but what bill doesn't know .us decent  hardworking white guys will kick his racist white guys asses ..:),No
#thanksdonald for getting rid off that asshat who has been president for 8 yrs.,Yes
@great_sweetleaf @bunnyslope go yo youtube bull up cbs news hillery endorsing trump.  straight from the asses mouth!!,No
@dannyzuker @reenie527 why would he quote putin? that's just crazy!!!! and make fun of over half this country too!wow. unpresidential.asshat,No
@notmrfusion @timleftwich why he needs to be smacked across the face with a fish. not gonna lose our net neutrality to this orange shithead__,No
and if you still support akali dal in punjab then don't call yourself nationalist n yes u don't love india u r just another tard.,No
omg  the fucking candy cane tot'n orange wig wearin' fucktard and his friend. #we'refucked https://t.co/yai3upy8lx,Yes
the free world' and their cronies got their asses kicked and handed to them. you're welcome amerikkka! xd https://t.co/qslm6m4lyl,No
@realdonaldtrump shithead @potus just pulling something out of his ass https://t.co/ftxmwxr897,Yes
.@obamolizer these 2 traitorous asses have caused division &amp; havoc in this great nation! shameful that 1st black prez was such a disaster!,No
russia doesnt like #amjoy #msnbc #cnn so he will use puppet trump to lock their asses up in prison.   it's gonna happen!,No
@viceroy222 what tomfoolery is this? lmao draft dodging drumpf isnt going to save you simple asses.,Yes
@johniadarola @reuters bit as thorough obama had his hand up your asses   you have been depicting the syrian gov as illegitimate.,No
rt @quinncy: and we'll do it while holding up your red-state asses with our revenue. https://t.co/d3jk2qisrs,No
@reifman yeah deplorables answer that one while their rich asses dont care,No
@billkristol  peak trump  you asswipe,No
asshat elect lol  you're truly a king https://t.co/9xkugnnxr7,Yes
"rt @skysoldier10sfg: it's uncanny how ""shithead"" &amp; ""liberal"" are interchangeable. https://t.co/tgcxhultqw",No
@hamillhimself @carrieffisher worse  scum lib-tard? she'll get better enuf to #boogiedown for the #trump inauguration! #hillarylost(3 times),No
@prisonplanet @trump_supporter german citizens better pull heads out of asses and fight back against scum bag merkel @queen_europe #germany,Yes
@washingtonpost   i wouldn't cross the street to even look at the great orange nightmare  let alone perform for the asshat.,No
but all you trump haters he's the president elect you can't change that so stop being asses yourselves and support him!,Yes
@doug_pine @supertoaste @reuters asses of evil. #theresistance #nevertrump,No
@ahmadalissa brain dead stupid dumb asses in america...donald trump is another peace of crap scumbag yes trump exposed,No
@clauderemanes @sphaleritemz @politico true but i'm sure your dogs would do a better job of not licking each other's asses than team trump.,No
go lick illegals asses idiot. hopefully they return you  the favor https://t.co/p4iq8lfn1e,Yes
@trump_loves  hillary supporter?  you know 0 about me. i suppose it's a comforting assumption for u.  who else could dislike this shithead?,Yes
do the right thing and get yelled at by an asshat  that's the liberal lunacy we just beat the crap out of.ƒ https://t.co/grdfyd9uub,No
they'd better get off their asses and help the people  or the dems and gop will both be irrelevant in 2020! https://t.co/vaxfujzke8,No
"rt @edjetel: @leaveeuofficial @kthopkins watch "" nigel lawson "" own a smug faced hasn`t got a clue remoan lib-tard ! https://t.co/pfewga7ijs",No
rt @jayrodge66: @pharris830 @palmerreport @dailynewsbin i hope so. there must be some sanity left in washington or we must kick their assesƒ,No
"@realdonaldtrump what happened to the ""rigged election "" you big fat bullshitter"" your followers are the dumb asses of america",Yes
@realdonaldtrump  patriots reply to muslims  -fuck you and the camels ur stinking asses rode in on :) https://t.co/jtzvonb3xj,No
@foxnews @mmflint @realdonaldtrump @foxnewsinsider that asshat wants looting so he can have a free sandwich,No
@crystalannick @poeticheroin lmao these racists really think trump winning means they can say anything without getting their asses kicked.,No
@josephkahn i think it's the haters that are like trump supporters they waste their irrelevant asses trying to bring someone better down,No
@mattwebster777 @hawkins1824 ivanka flying jet blue...coach...harassed by cocksucker.... https://t.co/ggslyhgbwr,No
@politico @realdonaldtrump well quite a few people say that these economists have their heads up their asses. there is nothing hopeful here.,Yes
@senatemajldr @sentoomey all talk. you blow smoke up our asses on a continued basis. start doing the work of and for the people!,No
@tommyok99 @saul42 kiinda like the fact isis is liberal and barrys creation.. come on asshat schools open for education!!,Yes
@realdonaldtrump you are truly an asshat. what a churlish  disgusting greeting to the american people.,Yes
this is why its a joke to say these two asses are members of gop they intend to destroy trump gop has control of seƒ https://t.co/e4p7tdccwu,Yes
"@johntdolan @ccokermn   wow. this is like #hillary yelling at the camera:""why am i not up 50 points you might ask""  crazy dumb asses.",Yes
who needs celebs when you can have billionaires despots and suck asses? #nevertrump #notmypresident #resist https://t.co/ekilld7kxy,No
